slug,name,status,founded_year,hq,website,sector,one_liner,total_raised_m,latest_valuation_m,employees,revenue_signals,business_model,key_customers,team_china_profile,confidence,last_updated
siena-ai,Siena AI,active,2022,"San Francisco, CA, USA",https://www.siena.cx,AI / Customer Service / Conversational AI,"Autonomous AI customer service platform delivering empathic, human-like support for e-commerce and consumer brands.",11.0,,,,,,,medium,2026-03-23
sierra-ai,"Sierra Technologies, Inc.",Private,May ,"San Francisco, CA",https://sierra.ai,Enterprise AI / Conversational AI / AI Agents,Sierra is an enterprise AI company building autonomous AI agents for customer experience,635.0,10000.0,370-600 (estimates vary by source as of early 2026),,,,,high (well-covered company with public disclosures),2026-03-24
sigma-computing,Sigma Computing,active,2014,"San Francisco, California, USA",https://www.sigmacomputing.com,AI-Native Business Intelligence & Analytics,Cloud-based analytics platform enabling business teams to explore and visualize live data in a spreadsheet-like interface without SQL.,662.0,1500.0,1437,~100_000_000,,,,high,2026-03-24
silo,Silo AI,"Acquired by AMD ($665M, August 2024)",2017,"Helsinki, Finland",https://www.silo.ai,AI / Enterprise AI Solutions / Private AI Lab,"Europe's largest private AI lab, building enterprise AI solutions and custom LLMs, acquired by AMD for $665M in the largest AI acquisition in European history",11.2,665.0,300 (at time of acquisition),,,,,high,2026-03-24
simile,Simile,active,2025,"Stanford, CA (uncertain — strong Stanford ties; exact HQ not confirmed)",https://simile.ai,AI digital twins; human behavior simulation; market research; enterprise AI,"Stanford spinout building high-fidelity AI digital twins that simulate human decision-making, replacing focus groups and enabling companies to rehearse real-world outcomes.",100.0,,,Not disclosed. Enterprise contracts in the $150K–multi-million dollar range suggest early but meaningful revenue. Six named enterprise customers displayed on website at launch.,"Enterprise SaaS. Simile builds AI agent populations ('digital twins') trained on deep interview transcripts, historical transaction data, and behavioral science literature. Customers access Simile's AI agent bank to simulate consumer behavior, test product decisions, rehearse earnings calls, model litigation outcomes, and forecast reactions to policy changes. Pricing ranges from ~$150K to several million dollars per year, depending on scope. The company positions itself as a replacement for traditional focus groups and market research panels.","CVS Health (product placement testing, inventory decisions, earnings call preparation — built on ~3M consented responses from 400K+ people); Telstra (Australia's largest mobile internet provider); Wealthfront; Suntory Beverages & Food; Banco Itau; Garnett Station Partners (private equity)",Percy Liang appears to be of Chinese descent. No other founders have publicly documented Chinese origins. The team is rooted in Stanford's CS department with strong academic AI research backgrounds.,high,2026-03-24
simular,Simular,"Active, Private",2024,"San Francisco, CA",https://www.simular.ai,AI / Autonomous Agents / Computer Use / Desktop Automation,"> Former DeepMind scientists building autonomous AI agents that control your Mac and Windows PC — navigating interfaces, completing workflows, and operating software like a human knowledge worker",27.0,,Unknown (small team),,,,,high,2026-03-24
singulr-ai,Singulr AI,active,2023,"Palo Alto, CA",https://www.singulr.ai,AI Governance / Enterprise,AI governance and security platform for enterprise AI scaling.,10.0,,,,,,,medium,2026-03-21
sintra,Sintra,active,2022,"Vilnius, Lithuania",https://sintra.ai,AI Enterprise / SMB Agents,"AI employee helpers for small businesses — social media, support, admin. $12M ARR, 40K+ paying customers.",17.0,,,,,,,medium,2026-03-21
skild-ai,Skild AI,active,2023,"Pittsburgh, PA",https://www.skild.ai,foundation models; robotics; physical AI; embodied intelligence; manufacturing automation,"Building the first general-purpose, omni-bodied foundation model (the 'Skild Brain') that can control any robot, perform any task, in any environment.",2215.0,14000.0,,"The company reportedly grew from zero to ~$30M in revenue in 2025, which is notable given that most competitors (including Physical Intelligence) remain pre-revenue or very early revenue. The Foxconn/NVIDIA factory deployment and March 2026 ABB/Universal Robots partnerships suggest an accelerating commercial pipeline. Revenue model details (per-robot licensing, subscription, or per-deployment fees) have not been publicly disclosed.","Software-centric 'brain-as-a-service' for robotics. Skild builds the Skild Brain -- a general-purpose foundation model -- and deploys it as the intelligence layer on third-party robot hardware. Rather than building its own robots, Skild partners with hardware OEMs (ABB Robotics, Universal Robots, Foxconn) and integrates its AI into their existing robot platforms. Revenue comes from licensing and deploying the Skild Brain across industrial customers. The company grew from zero to approximately $30M in revenue in 2025, indicating early commercial traction that most robotics AI competitors have not yet achieved.",,,medium-high,2026-03-20
skydio,Skydio,active,2014,"San Mateo, California",https://www.skydio.com,defense-govtech; robotics; autonomous-vehicles; drones,"Largest US drone manufacturer building AI-powered autonomous drones for defense, public safety, and enterprise.",732.0,2200.0,,"~$180M revenue in 2024, up 80% YoY from ~$100M in 2023 (Sacra estimate). $1.2B in bookings pipeline with >50% from defense contracts. CNBC Disruptor 50 company. Blue UAS-approved for US government use. [Confidence: medium -- revenue estimates from Sacra, bookings figure from company.]","Vertically integrated drone manufacturer. Skydio designs, builds, and sells AI-powered autonomous drones with accompanying software platforms. Revenue comes from three segments: (1) Defense/government contracts (~50%+ of bookings), (2) Enterprise customers (energy, telecom, construction), and (3) Public safety (police, fire, DOTs). The core competitive advantage is Skydio Autonomy, an AI software stack that enables fully autonomous flight, obstacle avoidance, and mission execution without requiring skilled pilots.","U.S. Department of Defense (all branches); U.S. State Departments of Transportation (over half of all states); 200+ public safety agencies across 47 states; 60+ energy utilities; Enterprise customers (construction, telecom, infrastructure); International allied military and government customers",No China connection. All founders are American MIT graduates. Skydio is the largest US-made drone manufacturer and is positioned as the primary American alternative to Chinese drone maker DJI. The company has actively advocated for banning Chinese drones from US government use.,high,2026-03-20
slingshot-ai,Slingshot AI,active,2024,"New York, NY",https://slingshotai.com,AI Healthcare / Mental Health,AI therapist trained on sessions with human therapists. 50K+ beta users. M total raised.,93.0,,,,,,,medium,2026-03-21
smack-technologies,Smack Technologies,active,2024,"El Segundo, CA",https://smacktechnologies.com,AI Defense / Frontier Lab,"Defense AI frontier lab — domain-specific models for DoD using deep RL, not repurposed LLMs. Founded by MARSOC veterans.",32.0,,,,,,,medium,2026-03-21
snorkel-ai,Snorkel AI,"Private, Unicorn",2019,"Palo Alto, CA",https://snorkel.ai,Data-Centric AI / AI Infrastructure,Snorkel AI is a data-centric AI platform company that helps enterprises build and deploy AI by focusing on the quality and curation of training data rather than model architecture,238.0,1300.0,,,,,,high,2026-03-24
snyk,Snyk,Private (Series F); potential IPO in 2026,2015,"Boston, MA (US HQ); Tel Aviv, Israel (R&D HQ)",https://snyk.io,AI-Powered Developer Tools,"Developer-first security platform that finds and fixes vulnerabilities in code, open-source dependencies, containers, and cloud infrastructure.",1320.0,8500.0,1000+ (estimated 2025),,,,,high,2026-03-20
sola-ai,Sola,Active,2023,"Jersey City, NJ",https://www.sola.ai/,Artificial Intelligence / Agentic Process Automation / Enterprise AI,"Sola is an AI-native agentic process automation platform that automates back-office workflows for Fortune 100 enterprises, AmLaw 100 firms, and healthcare/logistics leaders — without code or consultants.",21.0,,,,,,,"High — funding confirmed by Fortune, a16z, and Y Combinator. Founder backgrounds verified.",2026-03-23
sola-security,Sola Security,active,2024,"Tel Aviv, Israel",https://sola.security,AI Cybersecurity,No-code AI security platform — build custom security apps without engineering resources.,30.0,,,,,,,medium,2026-03-21
solda-ai,Solda.AI,active,2023,"Amsterdam, Netherlands",https://www.solda.ai,AI Voice / Sales Automation,AI voice agents that autonomously handle and close full phone sales conversations in 100 simultaneous lines.,4.0,,,,,,,medium,2026-03-21
solidroad,Solidroad,active,2023,"Dublin, Ireland",https://www.solidroad.com,AI Customer Success / CX Training,AI QA and training platform auto-reviewing 100% of CX conversations.,8.2,,,,,,,medium,2026-03-21
solve-intelligence,Solve Intelligence,Private,2023,"San Francisco, CA",https://www.solveintelligence.com,AI / Legal Tech / Patent Automation,"AI platform specialized for patents, used by 400+ IP teams across six continents for patent drafting, prosecution, harvesting, office actions, and global filings coordination",55.0,,,,,,,high,2026-03-23
solveai,SolveAI,active,2025,"London, United Kingdom",https://solve.ai,enterprise AI; no-code development; AI software development,"London-based startup enabling non-technical employees to build production-ready, IT-compliant enterprise software using AI, with built-in governance and security.",50.0,,,,,,,high,2026-03-23
sonauto,Sonauto,Active,2023,"San Francisco, CA",https://sonauto.ai,AI Music / Creative Tools,"AI music editor that creates full-length songs from prompts, lyrics, or melodies",0.5,,,,,,,Low,2026-03-23
sourcegraph,Sourcegraph,Private (Series D),2013,"San Francisco, CA",https://sourcegraph.com,AI-Powered Developer Tools,"Sourcegraph is the company behind the industry-leading **code search** platform used by large engineering organizations to navigate massive, multi-repository codebases",225.0,2600.0,150-190 (estimates vary 2025-2026),,,,,high,2026-03-20
soxton-ai,Soxton AI,active,2024,"New York, NY",https://www.soxton.ai,AI Legal / Startup Law,"AI-native law firm for startups — 50+ contracts, AI copilot, lawyer-in-the-loop negotiations. 270+ businesses served.",2.5,,,,,,,medium,2026-03-21
spacial-ai,Spacial,active,2024,"San Francisco, CA",https://spacial.io,AI Construction / Structural Engineering,AI automating residential structural engineering review and permitting.,10.0,,,,,,,medium,2026-03-21
spaitial,SpAItial,active,2025,"London, UK",https://www.spaitial.ai,AI 3D / Spatial Foundation Models,Spatial foundation models generating physics-consistent interactive 3D environments from text. Synthesia co-founder.,13.0,,,,,,,medium,2026-03-21
spara,Spara,active,2024,"New York, NY",https://www.spara.co,AI Sales / Voice Agents,AI voice/chat/email agents for inbound sales — qualifies leads and books meetings in real-time.,15.0,,,,,,,medium,2026-03-21
speak,Speak,Private,2016,"San Francisco, California",https://www.speak.com,AI Language Learning,Speak is an AI-powered language learning platform that uses speech recognition and conversational AI to help users practice speaking foreign languages,162.0,1000.0,40-60 (estimate),~$100M (2025 estimate),,,,high,2026-03-20
speedy-brand,SpeedyBrand,Private,2023,"San Francisco, CA",https://speedybrand.io,AI / Marketing / SEO,AI-powered SEO content marketing platform that generates optimized blog posts and social media content for SMBs,2.5,15.0,,,,,,high,2026-03-23
spellbook,Spellbook,active,2021,"Toronto, Canada",https://spellbook.legal,AI Legal / Contract Review,AI copilot for contract review and legal work.,50.0,,,,,,,medium,2026-03-21
sphere,Sphere,Private,2023,"San Francisco, CA",https://www.getsphere.com,AI for Tax Compliance,"Sphere is an AI-native global tax compliance platform that automates sales tax, VAT, and GST obligations for companies expanding internationally",24.0,,20-40 (estimated),Undisclosed,,,,high,2026-03-20
spirit-ai-robotics,Spirit AI,active,2024,"Beijing, China",https://www.spirit-ai.com/en,Humanoid Robotics / Embodied AI,Humanoid robot startup. Moz1 humanoid with proprietary VLA model. Unicorn at >10B yuan. Backed by JD.com.,153.0,,,,,,,medium,2026-03-21
splose,Splose,active,2016,"Adelaide, Australia",https://splose.com,AI Healthcare / Practice Management,AI practice management for allied health professionals.,46.0,,,,,,,medium,2026-03-21
splxai,SplxAI,active,2023,"New York, NY",https://splx.ai,AI Security / Red-teaming,Offensive security for agentic AI — automated red-teaming and monitoring for AI agents.,7.0,,,,,,,medium,2026-03-21
sportai,SportAI,active,2023,"Oslo, Norway",https://sportai.com,AI Sports / Video Analysis,Camera-agnostic AI video analysis for sports coaching. TIME Best Inventions 2025. Backed by Magnus Carlsen.,5.7,,,,,,,medium,2026-03-21
ssi,Safe Superintelligence Inc.,"Active, stealth R&D mode",June,"Palo Alto, California",https://ssi.inc,Artificial Intelligence / AGI Safety,SSI exists to solve one problem: build a **safe superintelligence**,3000.0,,18,,,,,high,2026-03-20
stability-ai,Stability AI,"Active, private",2019,"London, United Kingdom",https://stability.ai,"Generative AI / Image, Video, Audio, 3D Synthesis","Stability AI is the company behind Stable Diffusion, one of the most widely adopted open-source text-to-image generative AI models",225.0,,190 (as of January 2026),,,,,high,2026-03-24
stackai,Stack AI,Active,2021,"Cambridge, MA",https://www.stack-ai.com/,Artificial Intelligence / No-Code AI Platform / Enterprise AI Agents,"Stack AI is a no-code platform for building and deploying enterprise AI agents, founded by MIT PhDs to help companies integrate their data with LLMs at scale.",19.0,,,,,,,"High — funding confirmed by Y Combinator, TechCrunch, and company blog. Founders verified as MIT PhDs.",2026-03-23
stackone,StackOne,active,2022,"London, UK",https://stackone.com,AI Infrastructure / Integration APIs,Tool-calling LLM and integration platform connecting SaaS via unified APIs for AI agents.,20.0,,,,,,,medium,2026-03-21
stainless,Stainless,Active,2022,"New York, NY",https://www.stainless.com/,Artificial Intelligence / Developer Tools / API SDK Generation,"Stainless uses AI to automatically generate and maintain SDKs for APIs, powering the official client libraries for OpenAI, Anthropic, Meta, and other major AI companies.",35.0,,,,,,,"High — funding confirmed by TechCrunch, a16z, and company blog. Customers include OpenAI, Anthropic, Meta.",2026-03-23
standard-kernel,Standard Kernel,active,2025,"Mountain View, CA",https://standardkernel.com,AI Infrastructure / GPU Optimization,AI that auto-generates ultra-optimized GPU kernels — improves AI workload performance without changing models.,20.0,,,,,,,medium,2026-03-21
stepfun,StepFun,Private (Hong Kong IPO reportedly planned for 2026),2023,"Xuhui District, Shanghai, China",https://www.stepfun.com,Foundation Models / Multimodal AI,"StepFun is a Shanghai-based AI foundation model company founded in April 2023 by Jiang Daxin, a 16-year veteran of Microsoft",1200.0,,400 (as of early 2026),,,,,medium,2026-03-20
straiker,Straiker,active,2024,"Sunnyvale, CA",https://www.straiker.ai,AI Security,AI-native security platform protecting enterprise AI apps from adversarial attacks and prompt injection.,21.0,,,,,,,medium,2026-03-21
strongestlayer,StrongestLayer,active,2024,"San Francisco, CA",https://www.strongestlayer.com,AI Email Security,LLM-native email security using intent analysis to stop AI-generated phishing attacks.,5.2,,,,,,,medium,2026-03-21
structify-ai,Structify,Private,2023,"Brooklyn, NY",https://www.structify.ai,AI / Data Extraction / Data Infrastructure,"AI-powered platform that automates the gathering, cleaning, and structuring of unstructured web data into enterprise-ready datasets using a proprietary visual language model called DoRa",4.1,,,,,,,high,2026-03-23
studio-atelico,Studio Atelico,active,2024,"San Francisco, CA",https://atelico.studio,AI Gaming / Game Engine,AI-first game studio with on-device engine for lifelike NPCs and emergent behaviors.,5.0,,,,,,,medium,2026-03-21
subsense,Subsense,active,2022,"Palo Alto, CA",https://subsense-bci.com,AI Neurotech / BCI,Non-surgical nanoparticle-based brain-computer interface for neurological disorders.,27.0,,,,,,,medium,2026-03-21
sumble,Sumble,Private,2022,"San Francisco, CA",https://sumble.com,AI / Sales Intelligence / GTM Data,AI-powered sales intelligence platform using a knowledge graph to surface contextual account data for go-to-market teams.,38.5,,Undisclosed (early-stage),,,,,medium,2026-03-20
sunday-household,Sunday (Household Robot),active,2024,"Mountain View, CA",https://www.sunday.ai,AI Robotics / Household,Household robot startup building Memo — a home robot. Beta launch planned 2026.,165.0,1150.0,,,,,,medium,2026-03-21
sunday-robotics,Sunday,Pre-revenue; beta deployment planned for late 2026,~202,"California, USA (exact city unconfirmed; likely San Francisco Bay Area)",https://www.sunday.ai,Consumer Robotics / Household Automation,"Sunday is building Memo, an autonomous household robot designed to help families with everyday chores such as doing dishes, laundry, and tidying up",200.0,1150.0,,,,,,high,2026-03-20
suno,Suno,Private,2021,"Cambridge, Massachusetts",https://suno.com,AI Music Generation,"Suno is the leading AI music generation platform, enabling anyone to create full songs — vocals, instruments, and lyrics — from text prompts",375.0,2450.0,50-100 (estimate; exact figure uncertain),$300M (February 2026),,,,high,2026-03-20
sunrise-ai,Sunrise,active,Late,"China (likely Shanghai/Shenzhen, aligned with SenseTime)",https://Not publicly confirmed,AI Chips / GPU Development,Sunrise is a high-performance GPU and AI chip developer spun off from SenseTime's core semiconductor division in late 2024,431.0,,,,,,,high,2026-03-20
sunrise-robotics,Sunrise Robotics,active,2024,Slovenia,https://sunriserobotics.co,AI Robotics / Industrial,Modular two-armed industrial robots deployable in under 10 weeks vs 8 months for traditional robots.,8.5,,,,,,,medium,2026-03-21
superscale-ai,Superscale AI,active,2024,"Berlin, Germany",https://superscale.com,AI Marketing / Autonomous Campaigns,Autonomous AI marketing agent for campaign creation and optimization.,5.0,,,,,,,medium,2026-03-21
surf-ai,Surf AI,active,2024,"Tel Aviv, Israel",https://www.surf.ai,cybersecurity; agentic AI; security operations,"Israeli agentic cybersecurity platform that aggregates signals across identity, cloud, security, and IT tools to create a living context graph for AI-driven threat prioritization and remediation.",57.0,,,,,,,high,2026-03-23
surge-ai,Surge AI,Private,2020,"San Francisco, CA",https://surgehq.ai,AI / Data Labeling / RLHF,"Data labeling platform connecting AI developers with expert human annotators for RLHF, training data, and structured annotation at scale, serving OpenAI, Google, Microsoft, Meta, and Anthropic",0.0,,121 (2025),,,,,medium,2026-03-23
sweep-ai,Sweep,Private,2023,"San Francisco, CA",https://sweep.dev,AI / Developer Tools / Code Assistant,"AI coding assistant for JetBrains IDEs that automates code generation, bug fixes, and developer workflows",2.5,25.0,,,,,,high,2026-03-23
sync-labs,Sync Labs,Active,2023,"San Francisco, CA",https://synclabs.so,AI Video / Lip-Sync Technology,API enabling real-time lip-syncing for video subjects across any language,0.5,,,,,,,Low,2026-03-23
synthesia,Synthesia,Private,2017,"London, UK (20 Triton Street)",https://www.synthesia.io,generative-ai; video; avatars; enterprise-saas; deeptech; european-ai,Synthesia is a London-based AI video generation platform that converts text scripts into professional videos featuring photorealistic AI avatars,536.0,4000.0,661 (Jan 2026),,,,,high,2026-03-20
synthflow,Synthflow,active,2023,"Berlin, Germany",https://synthflow.ai,AI Voice / No-Code Agents,"No-code platform for deploying voice AI agents — 45M calls handled, 1000+ customers. G2 Grid Leader.",30.0,,,,,,,medium,2026-03-21
tabnine,Tabnine,Private,2013,"Tel Aviv, Israel",https://www.tabnine.com,AI-Powered Developer Tools,"Tabnine is one of the original AI coding assistants, predating the current wave of AI coding tools",67.0,,72-84 (2025 estimates),,,,,medium,2026-03-20
tachyum,Tachyum,active,2016,"Santa Clara, CA",https://www.tachyum.com,AI Chips / Universal Processor,Universal processor combining CPU + GPU + AI accelerator in one chip.,220.0,,,,,,,medium,2026-03-21
tala-health,Tala Health,active,2014,"San Francisco, CA",https://talahealth.com,Healthcare AI Agents,AI agent platform for healthcare automation with major US health insurer contracts.,100.0,1200.0,,,,,,medium,2026-03-21
tandem-health,Tandem Health,active,2022,"Stockholm, Sweden",https://www.tandemhealth.ai,AI Healthcare / Medical Copilot,AI medical copilot for clinicians.,50.0,,,,,,,medium,2026-03-21
tars-ai,TARS (Tashi Zhihang),active,2025,"Shanghai, China",https://www.tarsrobot.com,Embodied AI / Robotics,Embodied AI for smart manufacturing and intelligent logistics.,242.0,,,,,,,medium,2026-03-23
tavus,Tavus,Private,2021,"San Francisco, CA",https://www.tavus.io,AI Video / Human Computing,"AI research lab building ""human computing"" -- real-time, emotionally intelligent AI humans that see, hear, speak, and react in face-to-face video interactions, delivered as a developer platform",64.2,,40,,,,,high,2026-03-20
taxo,Taxo,active,2024,United States,https://taxo.ai,AI Applications / Healthcare,Taxo is a healthcare AI company building what it describes as the world's fastest and most accurate AI reasoning engine for healthcare administration,5.0,,,,,Harvard teaching hospitals (pilot); Stanford teaching hospitals (pilot),,high,2026-03-20
tenex-ai,Tenex AI,active,2024,"Sarasota, FL",https://tenex.ai,AI Cybersecurity / SOC,AI-native autonomous SOC. M ARR in first year. Hit M revenue in 6 months.,27.0,,,,,,,medium,2026-03-21
tennr,Tennr,"Active, Private",2021,"New York, NY",https://www.tennr.com,AI / Healthcare / Document Automation,"> AI-powered healthcare document automation that processes 10 million medical documents per month, fixing the broken patient referral system",156.0,605.0,,,,,,high,2026-03-24
tensorwave,TensorWave,active,2023,"Las Vegas, NV",https://tensorwave.com,AI Cloud / GPU Infrastructure,AMD-focused AI cloud — largest AMD Instinct MI300X cluster. Alternative to Nvidia-centric clouds.,100.0,,,,,,,medium,2026-03-21
tenstorrent,Tenstorrent,active,2016,"Toronto, Ontario, Canada (with offices in Austin, TX and Santa Clara, CA)",https://tenstorrent.com,AI Hardware / Semiconductors / RISC-V IP Licensing,Tenstorrent is a Canadian AI chip and RISC-V processor company led by legendary chip architect Jim Keller,1180.0,,400+ (estimate),,,,,high,2026-03-20
tenzai,Tenzai,active,2025,"Tel Aviv, Israel",https://tenzai.com,AI Cybersecurity / Pen Testing,Autonomous AI hacker platform for penetration testing. Largest Israeli seed round ever. Guardicore co-founders.,75.0,,,,,,,medium,2026-03-21
tera-ai,Tera AI,Active,2023,"San Francisco, CA",https://www.tera.ai/,Artificial Intelligence / Robotics / Visual Navigation,"Tera AI develops a platform-agnostic spatial reasoning system that enables any robot to navigate its environment using only its own camera — no additional sensors, maps, or infrastructure required.",7.8,,,,,,,"High — funding confirmed by TechCrunch, PR Newswire, and VC partners. Founder background at Google X verified.",2026-03-23
terray-therapeutics,Terray Therapeutics,active,2021,"Pasadena, CA",https://www.terraytx.com,AI Drug Discovery,High-throughput chemistry + AI for small molecule drug discovery.,120.0,,,,,,,medium,2026-03-21
tessl,Tessl,Private (Series A),2024,"London, United Kingdom",https://tessl.io,AI-Powered Developer Tools,"Tessl is building an AI-native, spec-centric platform for autonomous software development",125.0,750.0,21-50 (2024-2025),,,,,high,2026-03-20
the-general-intelligence-company,The General Intelligence Company,Private,2024,"New York, NY",https://www.generalintelligencecompany.com,AI / AGI / Business Automation,"Applied AI lab building Cofounder, an AI chief-of-staff platform that enables one-person billion-dollar companies by fully automating business operations with autonomous agents",10.7,,,,,,,high,2026-03-23
thinking-machines-lab,Thinking Machines Lab,"Active, Private (Public Benefit Corporation)",2025,"San Francisco, CA",https://thinkingmachines.ai,AI / Frontier Models / Model Customization,"> Public benefit corporation building customizable frontier AI models, founded by former OpenAI CTO **Mira Murati** and five former OpenAI researchers",2000.0,12000.0,30+ (as of mid-2025),,,,,high,2026-03-24
third-dimension-ai,Third Dimension AI,Active,2024,"San Francisco, CA",https://thirddimension.ai/,Artificial Intelligence / Generative AI / 3D Content Generation,"Third Dimension AI uses generative AI to create large-scale, usable 3D environments from text and images — serving gaming, film, autonomous vehicles, and defense.",7.0,,,,,,,High — funding confirmed by PR Newswire and multiple sources. Founded by ex-gaming and autonomous vehicle experts.,2026-03-23
thoughtspot,ThoughtSpot,active,2012,"Mountain View, California, USA",https://www.thoughtspot.com,AI-Native Business Intelligence & Analytics,AI-powered analytics platform that lets business users query data and generate visualizations using natural language search.,809.0,4200.0,800,~318_000_000,,,,high,2026-03-24
thread-ai,Thread AI,Private,2023,"New York, NY",https://www.thread.dev,AI / Enterprise AI Infrastructure / Workflows,"Composable AI infrastructure platform helping enterprises design, deploy, and scale AI-powered workflows through its core platform Lemma, founded by former Palantir AI leaders",26.0,,,,,,,high,2026-03-23
tibo-energy,Tibo Energy,active,2022,"Eindhoven, Netherlands",https://tibo.energy,AI Cleantech / Energy Management,AI-native EMS optimizing and monetizing energy-demand flexibility.,9.8,,,,,,,medium,2026-03-21
together-ai,Together AI,Private,June,"San Francisco, CA",https://www.together.ai,AI Infrastructure / Cloud,"Together AI is an AI-native cloud platform that provides infrastructure for running, training, and fine-tuning open-source AI models",534.0,3300.0,200 (est. late 2025),,,,,high,2026-03-20
tome,Tome,Pivoted to Lightfield (private); Tome brand acquired by AngelList,2020,"San Francisco, CA",https://tome.app,AI Presentations / Sales Intelligence (pivoted),Tome was an AI-native storytelling and presentation platform founded in 2020 by former Meta executives Keith Peiris and Henri Liriani,81.0,300.0,30,,,,,medium,2026-03-24
tonic-ai,Tonic.ai,active,2018,"San Francisco, California, USA",https://www.tonic.ai,Synthetic Data & Data Privacy,"Tonic.ai is a synthetic data platform that generates realistic, de-identified versions of production databases for software development, testing, and AI/ML training",45.0,,108,,,,,high,2026-03-24
tortus,TORTUS,active,2022,"London, UK",https://tortus.ai,AI Healthcare / Clinical Documentation,AI copilot for physicians — listens to patient conversations and generates clinical documentation.,4.2,,,,,,,medium,2026-03-21
traceloop,Traceloop,active,2023,"Tel Aviv, Israel",https://traceloop.com,AI Observability / LLM Evaluation,"LLM agent observability — detects hallucinations, tracks behavior, enables prompt versioning. IBM, Cisco as clients. Samsung NEXT backed.",6.1,,,,,,,medium,2026-03-21
track-titan,Track Titan,active,2022,United Kingdom,https://tracktitan.io,AI Sports / Motorsport Analytics,AI motorsport analytics providing real-time coaching feedback from telemetry data for racing drivers.,5.0,,,,,,,medium,2026-03-21
tractable,Tractable,active,2014,"London, UK",https://tractable.ai,computer-vision; insurtech; damage-assessment,"UK's first computer vision unicorn, using AI to automate vehicle and property damage appraisals for insurers.",185.0,,,,,,,high,2026-03-23
tractian,Tractian,Private,2019,"Atlanta, GA (originally Sao Paulo, Brazil)",https://tractian.com,Manufacturing AI / Industrial AI,Tractian is an industrial AI company that provides integrated hardware and software solutions to eliminate unplanned downtime in manufacturing and heavy industry,183.2,720.0,500 (uncertain),,,,,high,2026-03-20
translucent,Translucent,active,2024,"New York, NY",https://translucent.ai,AI Healthcare Finance,Agentic AI for healthcare finance — consolidates operational/clinical/financial data with real-time insights for health systems.,34.0,,,,,,,medium,2026-03-21
trase,Trase,active,2025,"McLean, VA",https://www.trase.ai,AI Agents / Critical Sectors,"Agentic AI for healthcare, defense, and energy. Charges based on measurable efficiency gains.",10.5,,,,,,,medium,2026-03-21
traversal,Traversal,active,2024,"New York, NY",https://traversal.com,AI Agents / SRE,"AI SRE agent — autonomous incident detection, root cause analysis, and remediation.",48.0,,,,,,,medium,2026-03-21
trellis,Trellis,Active,2023,"San Francisco, CA",https://runtrellis.com,AI Data Infrastructure,AI platform that transforms unstructured data into SQL-queryable tables using natural language schema definitions,0.5,,,,,,,Low,2026-03-23
trigger-dev,Trigger.dev,Private,2022,"London, UK",https://trigger.dev,AI Infrastructure / Developer Tools,Developer platform for building and deploying fully-managed AI agents and workflows with production-grade reliability,19.5,,,,,,,high,2026-03-23
tripo-ai,Tripo AI,active,Marc,"Beijing, China (with global user base, 90% outside China)",https://www.tripo3d.ai,AI 3D Generation / Generative AI,Tripo AI is an AI-powered platform for generating high-quality 3D models from text prompts or images in seconds,50.0,,,,,,,high,2026-03-20
trismik,Trismik,active,2024,"Cambridge, UK",https://trismik.com,AI Evaluation / Testing,Adaptive AI evaluation using psychometric methods — dynamically adjusts test difficulty for LLMs. Cambridge NLP spinout.,3.0,,,,,,,medium,2026-03-21
truefoundry,TrueFoundry,active,2021,India,https://www.truefoundry.com,AI Infrastructure / Deployment,AI deployment and infrastructure platform — helps enterprises scale AI models with autonomous agents.,21.0,,,,,,,medium,2026-03-21
truewind,Truewind,Private,2022,"San Francisco, CA",https://www.truewind.ai,AI / Fintech / Accounting,AI-powered digital accountant that automates bookkeeping and month-end close for startups and accounting firms,17.0,,,,,,,high,2026-03-23
truffle-ai,Truffle AI,Active,2024,"San Francisco, CA",https://truffle.bot,AI Agent Platform / Workflow Automation,"AI agent development platform enabling businesses to build, customize, and deploy AI agents to automate workflows",0.5,,,,,,,Medium,2026-03-23
turing-japan,Turing Inc (Japan),active,2021,"Tokyo, Japan",https://turing-motors.com,AI Autonomous Vehicles,Full self-driving technology for passenger vehicles. Targeting fully autonomous cars by 2029. Denso-backed.,100.0,388.0,,,,,,medium,2026-03-21
turing,Turing,active,2018,"Palo Alto, California, USA",https://www.turing.com,AI / Developer Platform / LLM Training Infrastructure,Turing began as an AI-powered platform for vetting and matching remote software developers with companies,247.0,,5000-6300 (estimates vary; rapid growth through 2025-2026),,,,,high,2026-03-20
twelve-labs,Twelve Labs,"Private, growth-stage",2021,"San Francisco, CA (660 4th Street)",https://www.twelvelabs.io,Multimodal AI / Video Understanding,Twelve Labs builds foundation models purpose-built for video understanding,107.0,300.0,,,,,,medium-high,2026-03-20
typeface,Typeface,Private,May ,"Palo Alto, California",https://www.typeface.ai,Enterprise AI / Generative AI for Marketing & Content,"Enterprise AI platform for brand-consistent, multi-channel marketing content generation and orchestration",305.0,1000.0,250-266 (as of early 2026),,,,,high,2026-03-20
udio,Udio,Active; pivoting to fully-licensed platform launching Q2 2026,Dece,"New York, NY, USA",https://www.udio.com,AI Music Generation,"Udio is a generative AI platform that produces full songs -- vocals, instrumentation, and lyrics -- from simple text prompts",10.0,,,,,,,high (funding figures and founder names widely corroborated; some details like exact valuation and Series A timing are uncertain),2026-03-20
