company_slug,name,role,background,origin,prior
subtle-medical,Enhao Gong,CEO,BS from Tsinghua University. PhD EE from Stanford. Forbes 30 Under 30.,,
sumble,Anthony Goldbloom,CEO & Co-Founder,Founder and former CEO of Kaggle (acquired by Google in 2017).,Australian,
sumble,Ben Hamner,Co-Founder,Former CTO of Kaggle.,American,
sunday-household,Tony Zhao,CEO & Co-Founder,Stanford PhD roboticist.,Chinese-American,
sunday-household,Cheng Chi,CTO & Co-Founder,Stanford PhD roboticist.,Chinese-American,
sunday-robotics,Tony Zhao,Co-founder & CEO,"Stanford CS PhD candidate (advisor: Chelsea Finn); BS in EECS from UC Berkeley (2021, worked with Sergey Levine and Dan Klein); Stanford Robotics Fellow 2022-23; creator of ALOHA and ACT (Action Chunking with Transformers)",Chinese-American,
sunday-robotics,Cheng Chi,Co-founder & CTO,"Columbia University PhD student (advisor: Shuran Song, later moved to Stanford); creator of Diffusion Policy and UMI (Universal Manipulation Interface); RSS 2024 Best Systems Paper Finalist for UMI",Chinese,
suno,Mikey Shulman,CEO & Co-Founder,First ML hire and former Head of ML at Kensho (S&P Global). Lecturer at MIT Sloan (NLP for finance).,American,
suno,Georg Kucsko,Co-Founder,Former Kensho.,Austrian,
suno,Martin Camacho,Co-Founder,Former Kensho.,Latin American,
suno,Keenan Freyberg,Co-Founder,Former Kensho.,American,
sunrise-ai,Xu Bing (徐冰),Chairman,Details not widely reported Co-founded SenseTime in 2014 alongside Tang Xiao'ou. Served as SenseTime's executive director and co-founder.,Chinese,
sunrise-ai,Wang Zhan (王湛),Co-CEO,"Details not widely reported Former Vice President at Baidu; architect of Baidu's Phoenix Nest (凤巢) advertising system, one of the most profitable ad platforms in China.",Chinese,
sunrise-ai,Wang Yong (王勇),Co-CEO,Details not widely reported Veteran of AMD and Baidu's Kunlun chip unit. Joined SenseTime in 2020 to head its semiconductor/chip division. Deep hardware engineering background spanning US and Chinese chip development.,Chinese,
sunrise-robotics,Tomaz Stolfa,CEO,"Previously co-founded vox.io, Layer",Slovenian,
sunrise-robotics,Marko Thaler,CTO,"Founded Airnamics, AI for drones",Slovenian,
superscale-ai,Patrick Haede,CEO & Co-Founder,Co-founded Superscale AI in Berlin.,German,
superscale-ai,Magnus Langanke,Co-Founder,Co-founded Superscale AI.,German,
surf-ai,Yair Grindlinger,CEO & Co-founder,"Co-founded FireLayers (acquired by Proofpoint), later held senior management positions at Proofpoint. Veteran Israeli cybersecurity entrepreneur.",Israeli,
surf-ai,Elad Horn,Co-founder,Experienced Israeli cybersecurity executive.,Israeli,
surf-ai,Roie Cohen Duwek,Co-founder,Israeli cybersecurity sector veteran.,Israeli,
surf-ai,Avner Gideoni,Co-founder,Israeli cybersecurity sector veteran.,Israeli,
surf-ai,Brenton Gumucio,Co-founder,Cybersecurity executive.,American,
surge-ai,Edwin Chen,Founder & CEO,MIT dropout. Former data scientist. Bootstrapped Surge AI from his SF apartment in May 2020 to $1B+ revenue without external funding. Forbes billionaire.,Taiwanese-American,
sweep-ai,William Zeng,Co-Founder,Youngest senior ML engineer at Roblox; deep experience in machine learning and AI-powered code generation,American,
sweep-ai,Kevin Lu,Co-Founder,Top student in Math/CS at University of Waterloo; strong academic background in AI and computer science,Canadian,
sync-labs,Prady Modukuru,CEO,Co-creator of wav2lip (8.7k+ GitHub stars); raised $5.5M seed led by GV; won AI grant from Nat Friedman and Daniel Gross,Indian,
sync-labs,Rudrabha Mukhopadhyay,CTO,Co-creator of wav2lip; researcher in lip-sync and speech-driven facial animation,Indian,
sync-labs,Prajwal K R,Chief Scientist,Co-creator of wav2lip; researcher in audio-visual speech synthesis,Indian,
sync-labs,Pavan Reddy,COO,Co-creator of wav2lip; operations and business development,Indian,
synthesia,Victor Riparbelli,CEO & Co-Founder,"Computer science & business informatics (Copenhagen, Stanford). Danish. Previously co-founded Coincall; product marketing at Founders.",Danish (Italian heritage),
synthesia,Steffen Tjerrild,COO & Co-Founder,"MSc Applied Economics & Finance, Copenhagen Business School. Danish. Previously worked in private equity in Africa (sand mines, chicken farms).",Danish,
synthesia,Matthias Niessner,Co-Founder (Technical/Research),"Professor at Technical University of Munich, Visual Computing Lab. 150+ publications including 25 SIGGRAPH papers. Expert in 3D reconstruction and AI video synthesis.",German,
synthesia,Lourdes Agapito,Co-Founder (Technical/Research),Professor of 3D Vision at UCL Computer Science. Leading researcher in computer vision and 3D reconstruction.,Spanish-British,
synthetic-sciences,Unknown,Co-Founder & CEO,Scientific research and AI background.,,
synthflow,Hakob Astabatsyan,CEO & Co-Founder,Serial entrepreneur. Built ventures with Rocket Internet. Former growth strategist at BCG.,Armenian,
synthflow,Albert Astabatsyan,CPO & Co-Founder,Serial entrepreneur.,Armenian,
synthflow,Sassun Mirzakhan-Saky,CTO & Co-Founder,Technical co-founder.,Armenian,
tabnine,Dror Weiss,CEO & Co-Founder,Co-founded Codota (renamed Tabnine) in 2013.,Israeli,
tabnine,Eran Yahav,CTO & Co-Founder,Co-founded Codota (renamed Tabnine) in 2013. Computer science researcher.,Israeli,
tachyum,Radoslav Danilak,CEO,"Born in Slovakia; 25+ years in chip design; 137 patents; former Toshiba (PS2 Emotion Engine), NVIDIA (Tesla/Fermi GPUs); co-founded SandForce (acquired by LSI for $377M in 2011)",Slovak,
tachyum,Ken Wagner,Co-Founder,"Co-founded Wave Computing (ML), Silicon Analytics (chip synthesis tools), and Theseus Logic (clockless logic)",American,
tala-health,Ritankar Das,CEO,"Born Kolkata India. Youngest UC Berkeley University Medalist at 18. Gates Cambridge Scholar. Founded Titan Holdings (2014), Dascena (2017).",Indian-American,
tandem-health,Lukas Saari,CEO,Former McKinsey (led Nordic practice for digitization & AI in healthcare); former Spotify (machine learning),Finnish-Swedish,
tandem-health,Oliver Astrand,CTO,AI researcher at GoogleX & Uber; developed AI products at startups Depict & Mavenoid,Swedish,
tandem-health,Oscar Boldt-Christmas,CCO,Former McKinsey Senior Partner; led European healthcare practice with 20 years of healthcare experience,Swedish,
tars-ai,Chen Yilun,CEO,Former CTO/Chief Scientist Huawei autonomous driving. Ex-DJI machine vision lead.,Chinese,
tars-ai,Ding Wenchao,Chief Scientist,Huawei Genius Youth recruit.,Chinese,
tars-ai,Li Zhenyu,Chairman,Former head of Baidu Intelligent Driving Group.,Chinese,
tavus,Hassaan Raza,Co-Founder & CEO,"BSc Computer Science from UT Austin (2015-2019). Technical Program Manager at Google. Engineering Program Manager at Apple. Principal at Simublade (product studio overseeing product development for startup partners, specializing in AI/ML). Co-founded Accantus (SaaS/IoT startup using telemetry and patient health data to predict treatment outcomes). 5-6 years in ML (avatars, 3D reconstruction, lip sync). Forbes 30 Under 30 (2024).",Pakistani-American,
tavus,Quinn Favret,Co-Founder & COO,Details on prior career limited in public sources. Co-founded Tavus with Hassaan Raza in 2021 (YC S21). Handles operations at Tavus.,American,
taxo,Dr. Ahmed Kerwan,CEO,Harvard (affiliated); medical background,Arab/Egyptian,
tecto,Niosha Afsharikia,Co-Founder,YC S25 batch.,Iranian (inferred from name),
tecto,Roksana Baleshzar,Co-Founder,YC S25 batch.,Iranian (inferred from name),
tenex-ai,Eric Foster,CEO,Former President of CYDERES; executive at RiskIQ and Stairwell; three-time CISO,American,
tenex-ai,Ryan Shreve,Co-Founder & COO,Founding executive at Fishtech Group; built CYDERES as CFO and COO; former CFO at Firemon,American,
tenex-ai,Edwin Solis,Co-Founder & CRO,Former head of Security Sales for Google Cloud Security; former Director of Sales at Protectwise,Hispanic-American,
tennr,Tyler Hoffman,CEO / Co-Founder,"[Note: Public sources indicate the CEO is Trey Holterman, not Tyler Hoffman — name may need correction.] Stanford CS alumnus. Worked as software engineer at Health IQ (Medicare platform) and Strava (fitness). All-American rower at Stanford. Met co-founders at Stanford working on advanced AI and LLM research. Founded Tennr in 2021.",American,
tennr,Diego Espinosa,Co-Founder,[Note: Public sources indicate the co-founder is Diego Baugh — name may need correction.] Met co-founders at Stanford. Co-founded Tennr in 2021 focused on healthcare document processing and patient referral automation.,Latin American,
tensol,Unknown,Co-Founder & CEO,Distributed systems and AI background.,,
tensorwave,Darrick Horton,CEO,Forbes 30 Under 30 (AI); former Lockheed Martin Skunk Works (nuclear fusion); NASA-funded plasma physics research; LIGO astrophysics,American,
tensorwave,Jeff Tatarchuk,Co-Founder,Co-founded TensorWave in 2023,American,
tensorwave,Piotr Tomasik,Co-Founder,Co-founded TensorWave in 2023,Polish,
tenstorrent,Ljubisa Bajic,Co-Founder & CTO (former CEO),Original CEO of Tenstorrent; swapped to CTO role when Jim Keller became CEO in Jan 2023,Serbian-Canadian,
tenstorrent,Milos Trajkovic,Co-Founder & Senior Fellow,Leads systems engineering and low-level/foundational software teams at Tenstorrent,Serbian-Canadian,
tenstorrent,Jim Keller,"CEO (joined 2020 as CTO, became CEO Jan 2023)","Legendary chip architect; designed DEC Alpha, AMD K7/K8/Zen, Apple A4/A5, Tesla self-driving chip. Former roles at AMD, Apple, Tesla, Intel",American,
tenzai,Pavel Gurvich,CEO,Co-founded Guardicore (acq Akamai $600M).,Israeli,
tenzai,Ariel Zeitlin,CTO,Co-founded Guardicore.,Israeli,
tenzai,Aner Mazur,CPO,Founding CPO at Snyk.,Israeli,
tera-ai,Tony Zhang,Founder & CEO,"PhD from Caltech under Pietro Perona (pioneer in computer vision), studying how biological systems solve navigation. Machine Learning Lead at Google X on geospatial AI project, where his team developed novel AI models for sensing, prediction, and optimal control. Left Google X within months of ChatGPT's launch to found Tera AI in 2023, betting spatial understanding would become as important as text comprehension.",Chinese-American,
teradar,Matt Carey,CEO & Co-Founder,Entrepreneur in sensing and deep tech. Discussions with Gregory Charvat about terahertz imaging possibilities led to founding TeraDAR.,American,
teradar,Gregory Charvat,Co-Founder,CTO of spatial intelligence company Humatics. Expert in radar and sensing systems.,American,
teradar,Nick Saiz,Co-Founder,World-class terahertz chip design expertise. Leads silicon development.,American,
terray-therapeutics,Jacob Berlin,Co-Founder & CEO,Chemist; founded company based on nanotechnology research at City of Hope hospital and research center,American,
terray-therapeutics,Eli Berlin,Co-Founder & Chief Business and Financial Officer,10 years in private equity and growth equity before co-founding Terray with brother Jacob,American,
tesora,Vivek Rao,Co-Founder,YC S25 batch.,Indian,
tesora,Federico Reyes Gomez,Co-Founder,YC S25 batch.,Latin American (inferred from name),
tessl,Guy Podjarny,Founder & CEO,"Co-founded Snyk (valued at $7.4B, $300M+ ARR); previously CTO at Akamai after Blaze.io acquisition. Serial entrepreneur in developer tools",Israeli,
the-general-intelligence-company,Andrew Pignanelli,Co-Founder & CEO,"Originally from Salt Lake City, now based in New York. Previously built Velvet, a retrieval-augmented intelligence system for private equity firms.",American,
the-general-intelligence-company,Abhishyant Khar,Co-Founder,Technical co-founder working on autonomous AI agent systems.,Indian,
thinking-machines-lab,Mira Murati,CEO,"Born in Vlore, Albania. Studied Mechanical Engineering at Dartmouth College. Worked at Goldman Sachs, then Zodiac Aerospace and Leap Motion. VP of Engineering at Tesla on the Model X. Joined OpenAI in 2018; became CTO in 2022. Briefly served as interim CEO of OpenAI during Sam Altman's temporary departure (November 2023). Left OpenAI in September 2024 to found Thinking Machines Lab. Led OpenAI through its most critical growth phase (ChatGPT, GPT-4, DALL-E).",Albanian-American,
thinking-machines-lab,John Schulman,Co-founder,"PhD from UC Berkeley under Pieter Abbeel. Co-founder of OpenAI (2015). Created Proximal Policy Optimization (PPO), one of the most widely used RL algorithms. Led the RLHF work that made ChatGPT possible. Left OpenAI in August 2024 to join Anthropic, then departed to co-found Thinking Machines Lab.",American,
thinking-machines-lab,Barrett Zoph,Co-founder,PhD from University of Southern California. Former research scientist at Google Brain where he pioneered Neural Architecture Search (NAS). Joined OpenAI as Research Lead. Led GPT-4 post-training. Left OpenAI in 2024 to co-found Thinking Machines Lab.,American,
thinking-machines-lab,Lilian Weng,Co-founder,"PhD from University of Michigan. Former Head of Safety Systems at OpenAI. Well-known for her influential technical blog (lilianweng.github.io) covering deep learning, RL, and LLM topics. Left OpenAI in 2024 to co-found Thinking Machines Lab.",Chinese-American,
thinking-machines-lab,Andrew Tulloch,Co-founder,Former engineering leader at OpenAI focused on infrastructure and systems. Previously at Facebook AI Research (FAIR). Deep expertise in ML infrastructure and high-performance computing. Left OpenAI to co-found Thinking Machines Lab.,Australian,
thinking-machines-lab,Luke Metz,Co-founder,Former research scientist at OpenAI and Google Brain. PhD research focused on meta-learning and learned optimizers. Left OpenAI to co-found Thinking Machines Lab.,American,
third-dimension-ai,Tolga Kart,CEO & Co-Founder,"15-year technical and product leader. McGill University (2002-2005). Senior Director on Call of Duty at Activision (5+ years). Technical Program Management & Simulation for Autopilot at Tesla (2+ years). VP of Engineering at Parallel Domain (synthetic data company). Also worked at Sledgehammer Games and Electronic Arts (EA). Deep expertise in gaming, simulation, and autonomous vehicles.",Turkish-Canadian,
third-dimension-ai,Piotr Sokolski,Co-Founder & CTO,"Veteran in 3D reconstruction and AI. Spent 4 years at Wayve building photorealistic neural simulators for self-driving cars. 3+ years at Google. Expertise in machine learning, 3D reconstruction, and autonomous driving simulation.",Polish,
third-dimension-ai,Soner Ozgun Pelvan,Co-Founder,Co-founded Third Dimension AI in 2024 alongside Tolga Kart and Piotr Sokolski. Background in video games and autonomous vehicles. Further career details limited in public sources.,Turkish,
thoughtspot,Ajeet Singh,Co-Founder & Executive Chairman,"IIT Delhi; MBA, Stanford Graduate School of Business (inferred from career trajectory)",Indian,Co-Founder and CEO of Nutanix (board member); Oracle
thoughtspot,Amit Prakash,Co-Founder & CTO,"IIT Bombay; PhD, UC Berkeley (inferred)",Indian,Google (Search Infrastructure)
thread-ai,Angela McNeal,Co-Founder & CEO,Former Foundry Head of AI Product at Palantir. Built Palantir's first ML product suite (100M+ in projects).,American,
thread-ai,Mayada Gonimah,Co-Founder & CTO,Former Foundry Head of AI/ML Engineering at Palantir. Led Palantir's modeling and AI/ML products group.,Egyptian-American,
tibo-energy,Remco Eikhout,Co-Founder & CEO,Led founding of Tibo Energy at Eindhoven University of Technology,Dutch,
tibo-energy,Bram Cappers,Co-Founder,Co-founded Tibo Energy in 2022,Dutch,
tibo-energy,Josh Mengerink,Co-Founder,Co-founded Tibo Energy in 2022,Dutch,
tibo-energy,Jeroen Althusius,Co-Founder,Co-founded Tibo Energy in 2022,Dutch,
tibo-energy,Linda Zandt-Sloot,Co-Founder,Co-founded Tibo Energy in 2022,Dutch,
together-ai,Vipul Ved Prakash,Co-Founder & CEO,Serial entrepreneur; created Vipul's Razor (anti-spam); co-founded Cloudmark and Topsy Labs (acquired by Apple ~$200M). Former Director of Engineering at Apple,Indian-American,
together-ai,Ce Zhang,Co-Founder & CTO,Associate Professor of Computer Science at ETH Zurich (on leave); expert in decentralized/distributed training and data-centric ML Ops,Chinese,
tome,Keith Peiris,Co-Founder & CEO,Former Meta executive; led Tome through pivot to Lightfield AI-native CRM,Sri Lankan-American,
tome,Henri Liriani,Co-Founder,Former Meta executive; co-founded Tome with Keith Peiris in 2020,French-American,
tonic-ai,Ian Coe,Co-Founder & CEO,,American,Palantir Technologies (early commercial division member); Tableau
tonic-ai,Karl Hanson,Co-Founder & CPO,,American,Palantir Technologies
tonic-ai,Andrew Colombi,Co-Founder & CTO,,American,Palantir Technologies
tonic-ai,Adam Kamor,Co-Founder & Head of Engineering,"PhD Physics, Georgia Institute of Technology",American,Microsoft; Kabbage; Tableau
tortus,Dom Pimenta,CEO,Cardiologist,British,
tortus,Christopher Tan,CTO,,British-Chinese,
traceloop,Nir Gazit,Co-Founder & CEO,4 years at Google leading ML engagement/retention models; former Chief Architect at Fiverr,Israeli,
traceloop,Gal Kleinman,Co-Founder & CTO,Led development of Fiverr's machine learning platform and data infrastructure,Israeli,
track-titan,Max Teichert,Co-Founder & CEO,Gamer turned professional racing driver; launched racing career after success in Gran Turismo Academy,German,
track-titan,Sam Marsden,Co-Founder,Co-founded Track Titan with Max Teichert,British,
tractable,Alex Dalyac,CEO,Former researcher at Imperial College London; Entrepreneur First alumnus,French,
tractable,Razvan Ranca,Co-founder,Former researcher at University of Cambridge; Entrepreneur First alumnus,Romanian,
tractable,Adrien Cohen,Co-founder,Entrepreneur First alumnus,French,
tractian,Igor Marinelli,CEO & Co-Founder,"Engineering graduate from UC Berkeley. Son of migrants and factory workers from Brazil and Italy. Grew up watching his father's struggles as a maintenance technician, which inspired his passion for industrial tech. Started building inventory systems as a teenager. Featured in Forbes Manufacturing and Industry Under 30 list.",Brazilian-Italian,
tractian,Gabriel Lameirinhas,Co-CEO & Co-Founder,"Engineering background. Co-founded Tractian in 2019 with Igor Marinelli and Leonardo Vieira. Raised around manufacturing plants from a young age. Shares co-CEO responsibilities with Marinelli, bringing engineering and technical leadership.",Brazilian,
tractian,Leonardo Vieira,Co-Founder,Co-founded Tractian in 2019. Raised around manufacturing plants. Engineering background focused on industrial technology and AI-powered predictive maintenance. Further career details limited in public sources.,Brazilian,
translucent,Jack O'Hara,Founder & CEO,"Former CIO at two multi-billion medical groups (ChenMed and Springfield); led teams of 300 across product, engineering, and AI",American,
translucent,Max Jones,Co-Founder & COO,Former consultant at Deloitte and healthcare investor at Redesign Health,American,
trase,Grant Verstandig,Co-Founder & CEO,Serial entrepreneur in healthcare/defense tech,American,
trase,Joe Laws,Co-Founder,Co-founded Trase alongside Grant Verstandig,American,
traversal,Anish Agarwal,Co-Founder & CEO,PhD from MIT; AI researcher focused on causal inference and time-series analysis,Indian-American,
traversal,Raj Agrawal,Co-Founder,Met Anish Agarwal during PhD at MIT,Indian-American,
traversal,Ahmed Lone,Co-Founder,Columbia master's graduate,South Asian-American,
traversal,Raaz Dwivedi,Co-Founder,Assistant Professor at Cornell Tech and Cornell Engineering,Indian-American,
trellis,Mac Klinkachorn,CEO,Stanford AI Lab; built LLM infra at Cresta and Moveworks processing terabytes of chat logs and voice calls,Thailand,
trellis,Jacky Lin,Co-Founder,"Stanford AI Lab; taught hundreds of Stanford grad students to build/train/deploy AI models; previously at Meta, World Bank, Wayfair",American,
trigger-dev,Matt Aitken,Co-Founder & CEO,Created two iPad apps that won Apple's iPad App of the Year; previously built JSON Hero (open-source JSON viewer used by 35K+ developers/month); serial startup founder,British,
trigger-dev,Eric Allam,Co-Founder & CTO,"Co-founded CodeSchool.com (acquired 2015), an early code learning platform; previously built JSON Hero",British,
trigger-dev,James Ritchie,Co-Founder,Director at Tiny Matter (design and development agency); MA in Communication from University of the Arts London,British,
trigger-dev,Daniel Patel,Co-Founder,Software engineering,British,
tripo-ai,Simon Song,Co-founder,"Details not widely reported Previously co-founded MiniMax, one of China's AI Tigers, which IPO'd on the Hong Kong Stock Exchange in January 2026. Serial AI entrepreneur.",Chinese,
tripo-ai,Guoli Su,Co-founder,Tsinghua University (affiliated with Tsinghua research team) Research background in 3D reconstruction and generative AI,Chinese,
trismik,Rebekka Mikkola,Co-Founder & CEO,Repeat founder with experience in enterprise AI sales,Nordic (Finnish/Danish),
trismik,Nigel Collier,Co-Founder & Chief Scientist,Professor of NLP at University of Cambridge; 200+ publications; PhD in machine translation with neural networks (1990s),British,
trismik,Marco Basaldella,Co-Founder & CTO,Former Amazon engineer working on foundation models and evaluation,Italian,
truefoundry,Nikunj Bajaj,Co-Founder & CEO,Former ML lead at Facebook for conversational AI; MS in CS from UC Berkeley. IIT Kharagpur alumnus,Indian,
truefoundry,Abhishek Choudhary,Co-Founder,Former Senior Staff Engineer at Meta infrastructure; fastest-growing engineer track at Meta. IIT Kharagpur alumnus,Indian,
truefoundry,Anuraag Gutgutia,Co-Founder,Former VP of Portfolio Management at WorldQuant; applied quantitative models to large-scale funds. IIT Kharagpur alumnus,Indian,
truewind,Alex Lee,Co-Founder & CEO,Previously at Plaid and JP Morgan; expertise in fintech and financial infrastructure,American,
truewind,Tennison Chan,Co-Founder,Software engineering background; previously worked at tech companies in the Bay Area,American,
truffle-ai,Rahul Karajgikar,Co-Founder,Published research at NeurIPS 2022 and WACV '23 (with Meta); built AI products for face recognition and health estimation at Hyperverge,Indian,
truffle-ai,Shaunak Srivastava,Co-Founder,Published research at NeurIPS 2022 and WACV '23 (with Meta); built AI products at Hyperverge,Indian,
trustlook,Allan Zhang,CEO,Former Palo Alto Networks (2nd security engineer). Ex-FireEye/Mandiant.,,
turing-japan,Issei Yamamoto,Co-Founder & CEO,Creator of Shogi AI 'Ponanza' — first software to beat a Shogi title holder (2017). One of Japan's best-known AI developers,Japanese,
turing-japan,Shunsuke Aoki,Co-Founder,PhD from Carnegie Mellon University in autonomous driving technology,Japanese,
turing-video,Xing Zhong,President & Co-founder,Co-founded Turing Video.,,
turing-video,Yi Li,Co-founder,Co-founded Turing Video.,,
turing,Jonathan Siddharth,CEO & Co-Founder,"B.E. Computer Science & Engineering, SVCE, Anna University, Chennai (2005); M.S. Computer Science, Stanford University (2007)","Chennai, Tamil Nadu, India",
turing,Vijay Krishnan,CTO & Co-Founder,"B.Tech, IIT Bombay; M.S. Computer Science, Stanford University",Indian,
twelve-labs,Jae Lee,Co-Founder & CEO,Born in Seoul; studied CS at UC Berkeley; founded Twelve Labs in 2021 during military service at Korean Cyber Command,Korean,
twelve-labs,Aiden Lee,Co-Founder,Recruited by Jae Lee; met at Korean Cyber Command,Korean,
twelve-labs,SJ Kim,Co-Founder,One of five co-founders recruited from Jae Lee's network,Korean,
twelve-labs,Dave Chung,Co-Founder,One of five co-founders recruited from Jae Lee's network,Korean,
twelve-labs,Soyoung Lee,Co-Founder,One of five co-founders recruited from Jae Lee's network,Korean,
typeface,Abhay Parasnis,Founder & CEO,Former CTO and CPO at Adobe; prior roles at Microsoft (Azure) and Oracle (Public Cloud lead). BS from COEP Technological University. Board member at Schneider Electric and Dropbox. 35+ patents,Indian-American,
udio,David Ding,CEO & Co-Founder,Former Google DeepMind (led ~30-person research team),Chinese-British,
udio,Conor Durkan,Co-Founder,Former Google DeepMind researcher,British,
udio,Charlie Nash,Co-Founder,Former Google DeepMind researcher,British,
udio,Yaroslav Ganin,Co-Founder,Former Google DeepMind researcher,Russian-Canadian,
udio,Andrew Sanchez,Co-Founder,Uncharted Labs co-founder (exact prior role unconfirmed),American,
unconventional-ai,Naveen Rao,CEO,"PhD Computational Neuroscience, Brown. Founded Nervana (sold Intel $350M), MosaicML (sold Databricks $1.3B). Former Head of AI at Databricks.",Indian-American,
undermind,Thomas Hartke,Co-Founder,"PhD quantum physics, MIT",American,
uniphore,Umesh Sachdev,Co-Founder & CEO,"Alumnus of Jaypee Institute of Information Technology. Incubated Uniphore at IIT Madras in 2008 with a vision to bridge the gap between humans and machines using AI. Recognized as 'Innovator Under 35' by MIT Tech Review, '40 under 40 Bright Young Business Leaders' by Economic Times, and 'Next Generation Leader' by Time Magazine. Enterprise AI pioneer bringing knowledge AI, generative AI, and emotion AI into a single platform.",Indian,
uniphore,Ravi Saraogi,Co-Founder & President (APAC),"Alumnus of Jaypee Institute of Information Technology. Co-founded Uniphore in 2008 with Umesh Sachdev at IIT Madras. Leads Sales and Delivery for Uniphore across APAC. Vast experience in directing technology teams in mobile theft security, wireless network development, and mobile learning applications. Honored with Innovation Leadership Award at Asia Innovation Excellence Awards.",Indian,
unique-ai,Manuel Grenacher,Co-Founder & CEO,Founded Unique in Zurich in 2021; leads the company's AI copilot platform for financial services,Swiss,
unique-ai,Michelle Heppler,Co-Founder & CCO,Co-founded Unique in 2021,Swiss,
unique-ai,Andreas Hauri,Co-Founder & CTO,Co-founded Unique in 2021,Swiss,
unitree-robotics,Wang Xingxing,Founder & CEO,Founded Unitree Robotics in 2016 in Hangzhou; led company from quadruped robots to humanoid robots and pre-IPO stage,Chinese,
unlimited-industries,Alex Modon,Co-Founder & CEO,Multidisciplinary engineer and repeat founder; entered industrial construction to discover inefficiencies that AI could solve,American,
unlimited-industries,Tara Viswanathan,Co-Founder,Previously founded and was CEO of Rupa Health (acquired 2024); scaled from zero to millions in revenue,Indian-American,
unlimited-industries,Jordan Stern,Co-Founder,First teammate at Rupa Health; helped scale the company before its acquisition,American,
unstructured,Brian S. Raymond,Founder & CEO,Former CIA officer; founded Primer AI before starting Unstructured in 2022,American,
uplift-ai,Hammad Malik,Co-Founder,YC S25 batch.,Pakistani (inferred from name),
uplift-ai,Muhammad Bin Sabir,Co-Founder,YC S25 batch.,Pakistani (inferred from name),
upscale-ai,Barun Kar,CEO,Ex-VP Engineering Palo Alto Networks. Co-founded Auradine.,Indian-American,
upscale-ai,Rajiv Khemani,Executive Chairman,"CEO Auradine. Ex-Cavium (acq Marvell), co-founded Innovium.",Indian-American,
upstage,Sung Kim (Seong-Hoon Kim),Co-Founder & CEO,Former professor at Hong Kong University of Science and Technology; led Naver's Clova AI team before founding Upstage,Korean,
upstage,Eunjeong Lucy Park,Co-Founder,Co-founded Upstage in 2020,Korean,
upstage,Henny Haein Son,Co-Founder,Co-founded Upstage in 2020,Korean,
valerie-health,Peter Shalek,Co-Founder & CEO,Previously co-founded digital mental health startup Joyable (sold to AbleTo),American,
valerie-health,Nitin Joshi,Co-Founder,Co-founded Uber Health; former engineer at Stripe and Bridge. First-principles builder,Indian-American,
valthos,Kathleen McMahon,CEO,Former Head of Life Sciences at Palantir,American,
valthos,Tess van Stekelenburg,Co-founder,"Computational neuroscience, Oxford",Dutch,
vannevar-labs,Brett Granberg,Co-Founder & CEO,Former In-Q-Tel (CIA venture arm) investment professional. McKinsey consultant. Deep expertise in intelligence community technology needs and procurement. Understands both the technology landscape and the IC's operational requirements.,American,
vannevar-labs,Danny Goodman,Co-Founder,Technical co-founder with expertise in AI/ML and data analytics platforms. Built the core technology for Vannevar's intelligence analysis platform.,American,
vannevar-labs,Nini Hamrick,Co-Founder,Co-founder with background in defense technology and intelligence community operations.,American,
vanta,Christina Cacioppo,CEO,Harvard CS degree. Former product manager at Dropbox and Palantir.,Italian-American,
vanta,Erik Goldman,Co-founder,Engineering background.,American,
vanta,Patrick Cronin,Co-founder,Engineering background.,American,
vapi,Jordan Dearsley,Co-Founder & CEO,"Studied Software Engineering at University of Waterloo (2017-2020, dropped out). Software Engineer at Asana and Wealthsimple. Co-founded Superpowered (YC W21), an AI meeting notetaker, which he ran from 2020-2023. Pivoted multiple times (investing app, note-taking tool, AI productivity) before relocating to San Francisco and founding Vapi in August 2023.",Canadian,
vapi,Nikhil Gupta,Co-Founder & CTO,Co-founded Superpowered (YC W21) with Dearsley from 2021 to early 2023. Previously played a pivotal role at Nearside before its acquisition by Plastiq in 2020. Product-focused technical founder obsessed with user experience. Co-founded Vapi after pivoting from Superpowered.,Indian-American,
vast-data,Renen Hallak,CEO & Founder,"Background in complexity theory, cryptography, and computer science. Former VP of Engineering/Head of R&D at XtremIO (acquired by Dell EMC in 2012 for ~$430M; achieved $1.2B run rate in first year of sales). Founded VAST Data in January 2016. Named one of Goldman Sachs' 100 Most Intriguing Entrepreneurs (multiple consecutive years). BigDATAwire Person to Watch 2024.",Israeli,
vast-data,Shachar Fienblit,Chief R&D Officer & Co-Founder,BSc Computer Software Engineering from University of Haifa (2000). Software Engineer at Picker Medical Systems (1996-2000). Storage Development Architect at IBM (2000-2008). CTO and VP Engineering at Kaminario (2009-2016). Co-founded VAST Data in 2016 bringing deep storage infrastructure expertise.,Israeli,
vast-data,Jeff Denworth,"Co-founder, VP Products",Formerly of CTERA Networks. Co-founded VAST Data in 2016 with Hallak and Fienblit. Leads product strategy at VAST Data. Deep experience in enterprise storage and data management.,American,
vast-data,Alon Horev,CTO,Details on prior career limited in public sources. Serves as CTO overseeing technical architecture of VAST Data's platform.,Israeli,
