company_slug,company_name,founder_name,role,background,origin,status
sakana-ai,Sakana Ai,Llion Jones,CTO,"MSc Advanced Computer Science, University of Birmingham; co-author of 'Attention Is All You Need' (2017), the foundational Transformer paper; ~12 years at Google before departing to co-found Sakana AI",Welsh-British,
sakana-ai,Sakana Ai,Ren Ito,COO,"Former Japanese diplomat (15 years); speechwriter for PM Shinzo Abe; Japan representative at World Bank board; early employee at Mercari (Japan's first unicorn), CEO of Mercari Europe through $3.7B IPO",Japanese,
salt-ai,Salt Ai,Aber Whitcomb,CEO & Co-Founder,Former CTO of MySpace.,American,
salt-ai,Salt Ai,Chris DeWolfe,Co-Founder,Co-founder and former CEO of MySpace.,American,
salt-ai,Salt Ai,Jim Benedetto,CTO & Co-Founder,Founder of Gravity Forms.,American,
salus-ai,Salus Ai,Unknown,Co-Founder & CEO,AI safety and software engineering background.,,
samaya-ai,Samaya Ai,Maithra Raghu,CEO,Ex-Google Brain. PhD CS Cornell. Medical AI research.,Indian-American,
samaya-ai,Samaya Ai,Fabio Petroni,CTO,Ex-Meta AI (FAIR). Knowledge-intensive NLP.,Italian,
sambanova,Sambanova,Rodrigo Liang,CEO,"20+ years in semiconductor engineering at Sun Microsystems and Oracle; BS/MS EE from Stanford; born in Taipei, grew up in Brazil",Taiwanese-Brazilian,
sambanova,Sambanova,Kunle Olukotun,Co-Founder & Chief Technologist,Stanford Professor of EE and CS; pioneer of multicore processors; founded Afara Websystems (acquired by Sun for ~$62M); PhD from Michigan,Nigerian,
sambanova,Sambanova,Christopher Re,Co-Founder,"Stanford Professor of CS; MacArthur Fellow; co-founded Snorkel AI (unicorn); two companies acquired by Apple (Lattice/DeepDive 2017, Inductiv/HoloClean 2020)",American,
sana-labs,Sana Labs,Joel Hellermark,CEO & Founder,Self-taught engineer from Sweden. Started first AI company as teenager. Appointed AI-specialist by Swedish government. Obama Foundation Leader.,Swedish,
sanctuary-ai,Sanctuary Ai,Geordie Rose,Co-Founder & former CEO (departed Nov 2024),PhD Theoretical Physics (UBC); founded D-Wave Systems (world's first quantum computing company); CEO of Kindred Systems (first RL-based production robotics company),Canadian,
sanctuary-ai,Sanctuary Ai,Suzanne Gildert,Co-Founder & former CTO (departed Apr 2024),Pioneered Sanctuary's AI-robotics approach; left to pursue stealth AI project,British-Canadian,
sanctuary-ai,Sanctuary Ai,Ajay Agrawal,Co-Founder,Professor at University of Toronto Rotman School of Management; AI economics researcher,Indian-Canadian,
sanctuary-ai,Sanctuary Ai,Olivia Norton,Co-Founder & CPTO,Chief Product & Technology Officer,American,
sandbar,Sandbar,Mina Fahmi,CEO,Ex-Meta engineer,Egyptian-American,
sandbar,Sandbar,Kirak Hong,Co-founder,Ex-Meta engineer,Korean,
sandboxaq,Sandboxaq,Jack Hidary,CEO,"Former Google X, author of Quantum Computing textbook",American,
saronic-technologies,Saronic Technologies,Dino Mavrookas,Co-Founder & CEO,"Serial entrepreneur in defense and maritime technology. Previously founded and led several technology ventures. Leads Saronic's strategy, product, and government relations.",American,
saronic-technologies,Saronic Technologies,Vibhav Altekar,Co-Founder,Technical co-founder with expertise in autonomous systems and robotics. Background in engineering autonomous platforms.,Indian American,
saronic-technologies,Saronic Technologies,Doug Lambert,Co-Founder,Co-founder with background in defense technology and autonomous systems development.,American,
saronic-technologies,Saronic Technologies,Robert Lehman,Co-Founder,Co-founder contributing to Saronic's autonomous vessel technology and maritime systems.,American,
sarvam-ai,Sarvam Ai,Vivek Raghavan,Co-founder,Former Chief Product Manager and Biometric Architect at UIDAI (Aadhaar); key role in scaling India's biometric ID system,Indian,
sarvam-ai,Sarvam Ai,Pratyush Kumar,Co-founder,"Adjunct faculty at IIT Madras; co-founded AI4Bharat, open-source initiative for AI in Indian languages",Indian,
scale-ai,Scale Ai,Alexandr Wang,Co-founder & former CEO (departed June 2025 to Meta),"Born 1997 in Los Alamos, NM to Chinese immigrant parents who were physicists at Los Alamos National Laboratory. Math and coding prodigy. Attended MIT briefly, worked at Quora and Hudson River Trading. Dropped out of MIT at 19 to co-found Scale AI. Became world's youngest self-made billionaire in 2022 at age 25. Now serves as Chief AI Officer at Meta, leading Meta Superintelligence Labs.",Chinese-American,
scale-ai,Scale Ai,Lucy Guo,Co-founder (departed 2018),"Studied CS and human-computer interaction at Carnegie Mellon. Thiel Fellow (2014). Worked at Facebook, Quora, and Snapchat. Left Scale AI in 2018 over strategic disagreements, retaining ~5% stake. Founded Backend Capital (VC) and Passes (creator platform). Became a billionaire on paper after Meta's 2025 investment.",Chinese-American,
science-corp,Science Corp,Max Hodak,CEO,Co-founder and former president of Neuralink,American,
scout-ai,Scout Ai,Colby Adcock,CEO & Co-Founder,Former tech private equity executive. Board member at Figure AI.,American,
scout-ai,Scout Ai,Collin Otis,CTO & Co-Founder,Serial entrepreneur. Founding engineer and Director of Autonomy at Kodiak Robotics. Former Head of Data Science at Uber ATG.,American,
scribe,Scribe,Jennifer Smith,Co-Founder & CEO,Former McKinsey consultant. Former Greylock Partners. Built Scribe from the pain of documenting enterprise workflows manually.,American,
scribe,Scribe,Aaron Podolny,Co-Founder & CTO,Former Google engineer (via acquisition of his software automation company). Working with ML technology since 2016.,American,
scrunch-ai,Scrunch Ai,Chris Andrew,Co-Founder & CEO,Former CPO at Hearsay Systems (among first employees).,American,
scrunch-ai,Scrunch Ai,Robert MacCloy,Co-Founder & CTO,Former CTO at Hearsay Systems (among first employees).,American,
seeing-systems,Seeing Systems,Unknown,Co-Founder & CEO,Defense technology and AI background.,,
semgrep,Semgrep,Isaac Evans,CEO & Co-Founder,MIT alumnus. Led development of the open-source Semgrep tool.,American,
semgrep,Semgrep,Drew Dennison,CTO & Co-Founder,MIT alumnus. Technical lead for the Semgrep engine and platform.,American,
semgrep,Semgrep,Luke O'Malley,CPO & Co-Founder,MIT alumnus. Leads product strategy and design.,American,
sennos,Sennos,Jared Resnick,CEO & Co-Founder,Founded Precision Fermentation (rebranded to Sennos in 2025).,American,
sennos,Sennos,Daniel Kulenic,Co-Founder,Co-founded Precision Fermentation with Resnick.,American,
sensetime,Sensetime,Tang Xiao'ou,Co-Founder (deceased Dec 2023),Professor at Chinese University of Hong Kong. Pioneer in computer vision and deep learning research.,Chinese,
sensetime,Sensetime,Xu Li,CEO & Co-Founder,Researcher in computer vision and AI. Led SenseTime from startup to Hong Kong IPO.,Chinese,
sentrial,Sentrial,Unknown,Co-Founder & CEO,MLOps and observability background.,,
serval,Serval,Jake Stauch,CEO & Co-Founder,Previously at Verkada.,American,
serval,Serval,Alex McLeod,Co-Founder,Previously at Verkada.,American,
servo7,Servo7,Unknown,Co-Founder & CEO,Robotics and logistics background.,,
sesame-ai,Sesame Ai,Brendan Iribe,Co-Founder,Co-founder and former CEO of Oculus VR (acquired by Facebook/Meta).,American,
sesame-ai,Sesame Ai,Ankit Kumar,Co-Founder,Former CTO of Ubiquity6 (AR startup).,Indian-American,
sett-ai,Sett Ai,Amit Carmi,CEO & Co-Founder,IDF Unit 8200 alumnus.,Israeli,
sett-ai,Sett Ai,Yoni Blumenfeld,CTO & Co-Founder,IDF Unit 8200 alumnus.,Israeli,
sf-compute,Sf Compute,Evan Conrad,CEO & Co-Founder,Previously building an AI audio model when he identified inflexible GPU compute deals as a pain point.,American,
sf-compute,Sf Compute,Alex Gajewski,Co-Founder,Co-founded SF Compute with Conrad. Has since left the company.,American,
shadeform,Shadeform,Ed Goode,Co-Founder,Previously built and operated cloud infrastructure at AWS; experience as infrastructure customer at Robinhood,American,
shadeform,Shadeform,Ronald Ding,Co-Founder,Previously worked on cloud infrastructure at Azure; experience as infrastructure customer at Capital One,American,
shadeform,Shadeform,Zach,Co-Founder,Cloud infrastructure engineering background,American,
shaped,Shaped,Tullie Murrell,Co-Founder & CEO,Previously at Meta/Facebook AI Research where he created PyTorchVideo and worked on video-centric AI; deep expertise in recommendation systems and retrieval,Australian,
shaped,Shaped,Daniel Camilleri,Co-Founder & CPO,Previously at Uber and Afterpay; product and engineering experience in marketplace and fintech platforms,Australian,
shengshu-ai,Shengshu Ai,Luo Yihang,CEO,AI video generation researcher.,Chinese,
shengshu-ai,Shengshu Ai,Zhu Jun,Chief Scientist,Tsinghua professor.,Chinese,
shenshu,Shenshu,Zhu Jun,Co-Founder,Tsinghua University professor.,Chinese,
shenshu,Shenshu,Tang Jiayu,Co-Founder & President,Tsinghua University background. Oversees strategic development and branding.,Chinese,
shenshu,Shenshu,Bao Fan,Co-Founder,Tsinghua University background.,Chinese,
shield-ai,Shield Ai,Brandon Tseng,Co-Founder & President,Former U.S. Navy SEAL Officer. Two combat tours in Afghanistan plus deployments in Asia-Pacific. Graduated from the U.S. Naval Academy; MBA from Harvard Business School. Named to TIME100 AI list (2025). His frontline military experience shaped the company's mission: building AI that protects warfighters.,Taiwanese-American,
shield-ai,Shield Ai,Ryan Tseng,Co-Founder & President (formerly CEO until May 2025),"Serial entrepreneur and engineer. BSEE in Electrical Engineering from University of Florida. MBA from MIT Sloan. Previously founded WiPower Inc. (wireless charging company acquired by Qualcomm in 2010), then served as Technical Lead for Wireless Power at Qualcomm. Led Shield AI as CEO for its first decade before transitioning to President in 2025.",Taiwanese-American,
shield-ai,Shield Ai,Andrew Reiter,Co-Founder & CTO,"Computer vision and robotics engineer. Previously worked on computer vision applications at Draper Laboratory (formerly MIT's Instrumentation Lab), a nonprofit advanced engineering R&D organization. Technical architect of Hivemind.",American,
siena-ai,Siena Ai,Andrei Negrau,Co-Founder & CEO,Second-time founder with 9+ years of e-commerce experience. Previously founded Cartloop (Shopify SMS marketing app) and Relevon (online gaming platform). Technical engineer specializing in eCommerce and AI. Built software for Shopify merchants before pivoting to AI-powered customer service with Siena.,Romanian,
siena-ai,Siena Ai,Lisa Popovici,Co-Founder & CMO,Growth marketer and sales leader with 9+ years of e-commerce experience. Second-time founder alongside Andrei Negrau. Previously co-built Cartloop with Negrau. Leads go-to-market and growth functions at Siena AI.,Romanian,
sierra-ai,Sierra AI,Bret Taylor,Co-Founder & CEO,Co-created Google Maps at Google (2003-2007). Founded FriendFeed (acquired by Facebook 2009). CTO of Facebook (created the Like button). Founded Quip (acquired by Salesforce for ~$750M). Co-CEO of Salesforce (2021-2023). Chairman of the Board of OpenAI.,American,
sierra-ai,Sierra AI,Clay Bavor,Co-Founder & President,"18 years at Google. Led Gmail and Google Drive product/design teams. Led Google Workspace. Started and led Google AR/VR, Project Starline, and Google Lens. Most recently led Google Labs.",American,
sigma-computing,Sigma Computing,Jason Frantz,Co-Founder,Stanford University (CS),American,
sigma-computing,Sigma Computing,Rob Woollen,Co-Founder & CTO,,American,
silo,Silo,Peter Sarlin,Co-Founder & CEO,PhD in Machine Learning. Leading AI researcher. Continues to lead Silo AI team within AMD's Artificial Intelligence Group.,Finnish,
silo,Silo,Tero Ojanpera,Co-Founder,Former Nokia executive and EVP of Services. Deep telecom and technology industry experience.,Finnish,
silo,Silo,Johan Kronberg,Co-Founder,Technical co-founder with AI/ML engineering expertise.,Finnish,
silo,Silo,Juha Hulkko,Co-Founder,Enterprise technology and business development background.,Finnish,
silo,Silo,Kaj-Mikael Bjork,Co-Founder,AI research and applied machine learning.,Finnish,
silo,Silo,Ville Hulkko,Co-Founder,Technology and engineering background.,Finnish,
simile,Simile,Joon Sung Park,Co-Founder & CEO,"PhD candidate in Computer Science at Stanford (HCI and NLP groups), advised by Michael Bernstein and Percy Liang. MS from UIUC (under Karrie Karahalios). BA in CS from Swarthmore College. Lead author of the 'Generative Agents' (Smallville) paper. Microsoft Research PhD Fellow (2022), Stanford School of Engineering Fellow (2021), Siebel Scholar (2019). Also an oil painter.",American,
simile,Simile,Michael Bernstein,Co-Founder & CPO (Chief Product Officer),Associate Professor of Computer Science at Stanford. Co-author on the ImageNet project. Co-advised Joon Sung Park's PhD. Deep expertise in human-computer interaction and crowdsourcing.,American,
simile,Simile,Percy Liang,Co-Founder & Chief Scientist,Professor of Computer Science at Stanford. Director of the Center for Research on Foundation Models (CRFM). Credited with coining the term 'foundation model.' Co-founded Together.ai. Extensive research in NLP and ML benchmarking (HELM).,Chinese-American,
simile,Simile,Elaina 'Lainie' Yallen,Co-Founder & CCO (Chief Creative Officer),"Stanford-affiliated. Exact prior career details not publicly documented as of this writing. Index Ventures partner Shardul Shah compared the full founding team to early-stage Wiz in terms of enterprise market pull, suggesting she brings significant go-to-market or business credentials.",American (limited public info),
simular,Simular,Ang Li,CEO & Co-Founder,"PhD in Computer Science from University of Maryland College Park (2017), specializing in representation learning for linguistic and visual information. ACM ICPC World Finals participant twice (49th in 2009 for Nanjing University, 39th in 2013 for UMD). Led applied research programs at Google DeepMind (2017-2021) in evolutionary neural networks and lifelong learning. Principal Scientist at Apollo/Baidu Autonomous Driving (2021-2023), developing continual learning platforms for self-driving cars. Co-founded Simular in 2023 at South Park Commons.",Chinese-American,
simular,Simular,Jiachen Yang,Co-founder,Co-founded Simular with Ang Li. Research background in AI. Further career details limited in public sources.,Chinese,
singulr-ai,Singulr Ai,Shiv Agarwal,CEO & Co-Founder,"Previously built Arkin Net (acquired by VMware). Experience at VMware, Nvidia, Microsoft, and IIT.",Indian,
singulr-ai,Singulr Ai,Abhijit Sharma,CTO & Co-Founder,Co-built Arkin Net (acquired by VMware). 15+ years of shared experience with Agarwal.,Indian,
sintra,Sintra,Chris Sidlauskas,CEO & Co-Founder,Started marketing agency at age 16 in Vilnius. Serial entrepreneur.,Lithuanian,
sintra,Sintra,Rokas Judickas,Co-Founder,Started marketing agency with Sidlauskas at age 15. Leads product design.,Lithuanian,
sintra,Sintra,Vasaris Kaveckas,Founding Engineer,Self-taught engineer who began coding games at 15.,Lithuanian,
skild-ai,Skild Ai,Deepak Pathak,Co-Founder & CEO,"Assistant Professor at the Robotics Institute, Carnegie Mellon University. PhD in AI from UC Berkeley (2014-2019). B.Tech in Computer Science from IIT Kanpur (Gold Medalist). Pioneered 'curiosity-driven' learning in robotics -- a foundational idea in self-supervised robot exploration. Over 4,000 citations by mid-2024. Co-founded VisageMap Inc. (facial recognition), which was acquired by FaceFirst.",Indian,
skild-ai,Skild Ai,Abhinav Gupta,Co-Founder & President,"Tenured Professor at the Robotics Institute, Carnegie Mellon University. Founding member and research leader at FAIR (Facebook AI Research) Pittsburgh lab (2018-2022), where he focused on robotics and lifelong learning systems. Research spans large-scale visual and robot learning, self-supervised learning, and scene understanding. Over 88,000 Google Scholar citations. Joined CMU Robotics Institute as a postdoc in 2009, became faculty in 2011.",Indian,
skydio,Skydio,Adam Bry,Co-Founder & CEO,MS in Aeronautics and Astronautics from MIT. Led award-winning autonomous flight research at MIT. Pioneered software enabling drones to fly themselves. Previously worked on autonomous systems research that won multiple DARPA challenges.,American,
skydio,Skydio,Abraham Bachrach,Co-Founder,PhD from MIT in autonomous navigation and SLAM (simultaneous localization and mapping). Core researcher in MIT's autonomous flight program. Expert in computer vision and robot perception.,American,
skydio,Skydio,Matt Donahoe,Co-Founder,MS from MIT. Co-developed autonomous drone systems at MIT alongside Bry and Bachrach. Background in software engineering and computer vision.,American,
slashy-ai,Slashy Ai,Harsha Gaddipati,Co-Founder,YC S25 batch.,Indian,
slashy-ai,Slashy Ai,Pranjali Awasthi,Co-Founder,YC S25 batch.,Indian,
slashy-ai,Slashy Ai,Dhruv Roongta,Co-Founder,YC S25 batch.,Indian,
slingshot-ai,Slingshot Ai,Daniel Cahn,CEO & Co-Founder,MSc in Machine Learning from Imperial College (highest honours). Former ML Engineer at Instabase. NLP research at Imperial's Data Science Institute.,American,
slingshot-ai,Slingshot Ai,Neil Parikh,Co-Founder,Co-founder of Casper Sleep (mattress company).,Indian-American,
smack-technologies,Smack Technologies,Andrew Markoff,Co-founder,"MARSOC veteran, 20+ years combat experience",American,
smack-technologies,Smack Technologies,Clint Alanis,Co-founder,MARSOC veteran,American,
snorkel-ai,Snorkel Ai,Alex Ratner,CEO & Co-Founder,PhD in CS from Stanford (advised by Chris Ré). Affiliate assistant professor at University of Washington. Started and led the Snorkel open source project.,American,
snorkel-ai,Snorkel Ai,Christopher Ré,Co-Founder & Board Member,"Associate Professor of CS at Stanford. MacArthur Fellow. Also co-founded SambaNova, Lattice/DeepDive (acq. by Apple), Inductiv (acq. by Apple).",American,
snorkel-ai,Snorkel Ai,Paroma Varma,Co-Founder & Head of Solutions,Stanford PhD. Researched weak supervision and data programming.,Indian-American,
snorkel-ai,Snorkel Ai,Braden Hancock,Co-Founder & Head of Technology,Stanford PhD in NLP and data programming.,American,
snorkel-ai,Snorkel Ai,Henry Ehrenberg,Co-Founder & Head of Engineering,Stanford background in ML systems.,American,
snyk,Snyk,Guy Podjarny,"Co-Founder (former CEO, then President)",Former CTO at Akamai. Led AppScan (early AppSec pioneer). IDF Unit 8200 alumnus. Later founded Tessl.,Israeli,
snyk,Snyk,Assaf Hefetz,Co-Founder,IDF Unit 8200 alumnus.,Israeli,
snyk,Snyk,Danny Grander,Co-Founder,IDF Unit 8200 alumnus. Security researcher.,Israeli,
socratix,Socratix,Riya Jagetia,Co-Founder,YC S25 batch.,Indian,
socratix,Socratix,Satya Vasanth Reddy,Co-Founder,YC S25 batch.,Indian,
sola-ai,Sola Ai,Jessica Wu,CEO & Co-Founder,"Mathematics and Computer Science background from MIT (dropped out to found Sola). Youngest quantitative researcher at a billion-dollar hedge fund. Worked across venture, quant research, and trading at Citadel, Goldentree, and Thrive Capital. Led product and design at early-stage startups. Founded Sola in 2023 at age 22 after experiencing pain with legacy RPA tools in finance. YC S23.",Chinese-American,
sola-ai,Sola Ai,Neil Deshmukh,Co-Founder & CTO,"BSc Computer Science from MIT (dropped out to co-found Sola). Led cutting-edge research in computer vision and LLMs at MIT-IBM Watson and Quest for Intelligence Labs, focusing on multimodal reinforcement learning. Previously Lead Software/ML Engineer at Moonbear Bio (no-code ML platform for biologists), ML researcher at PostEra. Founded PlantumAI (plant disease diagnosis app) and co-founded VocalEyes (for visually impaired). Built vision-based biometrics at age 14.",Indian-American,
sola-security,Sola Security,Guy Flechter,CEO,Founded Cider Security (acq Palo Alto Networks). 20+ years cybersecurity.,Israeli,
sola-security,Sola Security,Ron Peled,Co-founder,Former Global CISO LivePerson.,Israeli,
sola-solutions,Sola Solutions,Jessica Wu,CEO,"MIT dropout (born ~2000). Youngest quantitative researcher at a billion-dollar hedge fund. Former Citadel, Goldentree, Thrive Capital.",Chinese-American,
sola-solutions,Sola Solutions,Neil Deshmukh,CTO,MIT dropout. Co-founded Sola with Jessica Wu.,,
solda-ai,Solda Ai,Sergey Shalaev,CEO,"12+ yrs AI/ML, recommendation systems, ad tech",Russian,
soley-therapeutics,Soley Therapeutics,Dr. Yerem Yeghiazarians,Co-Founder,UCSF cardiologist and stem cell pioneer. Over a decade of research on cellular stress biology.,Armenian-American,
soley-therapeutics,Soley Therapeutics,Dr. Kurosh Ameri,Co-Founder,Cancer biologist at UCSF who defined the field of tumor anoxia (oxygen deprivation in tumors).,Iranian-American,
solidroad,Solidroad,Mark Hughes,CEO & Co-Founder,Founded Gradguide. Former EMEA Sales/Support lead at Chargify. Early sales rep at Intercom.,Irish,
solidroad,Solidroad,Patrick Finlay,CTO & Co-Founder,Co-founded Monaru (YC-backed). Former product engineer at Intercom.,Irish,
solva-technology,Solva Technology,Unknown,Co-Founder,YC S25 batch.,,
solve-intelligence,Solve Intelligence,Chris Parsonson,Co-Founder & CEO,PhD holder. Co-founded Solve Intelligence with his brother Angus. Y Combinator alumni.,British,
solve-intelligence,Solve Intelligence,Angus Parsonson,Co-Founder & CTO,Technical co-founder. Brother of Chris. Y Combinator alumni.,British,
solve-intelligence,Solve Intelligence,Sanj Ahilan,Co-Founder & Chief Research Officer,PhD holder. Leads research and development at Solve Intelligence.,British,
solveai,Solveai,Steve Basher,CEO & Founder,"Spent eight years at Palantir working with complex enterprise software before founding SolveAI in July 2025. Built company to 12-person team (with hires from Palantir, ElevenLabs, Meta) before emerging from stealth.","British (inferred, London-based)",
sonauto,Sonauto,Ryan Tremblay,Co-Founder,Cornell CS & History grad; spent 1.5 years researching music AI in collaboration with HarmonAI (Stability AI) and open-source researchers,American,
sonauto,Sonauto,Hayden Housen,Co-Founder,Published at NeurIPS; authored one of the first open-source transformer summarization libraries; youngest ML engineer intern at unicorn Ada at age 18,Canada,
sophgo,Sophgo,Micree Zhan,Indirect owner (23%),"Co-founder of Bitmain, world's largest Bitcoin mining chip maker.",,
sourcegraph,Sourcegraph,Quinn Slack,CEO & Co-Founder,Stanford graduate. Previously at Palantir. Self-taught coder since age 9. Now founding Amp Inc.,American,
sourcegraph,Sourcegraph,Beyang Liu,CTO & Co-Founder,Stanford graduate. Previously at Google and Palantir. Now founding Amp Inc.,Chinese-American,
soxton-ai,Soxton Ai,Logan Brown,CEO,"Harvard J.D., ex-Cooley LLP",American,
spacial-ai,Spacial Ai,Maor Greenberg,CEO & Co-Founder,Real estate and construction executive with 19+ years of experience.,Israeli,
spacial-ai,Spacial Ai,Ami Avrahami,CPO & Co-Founder,Seasoned technology entrepreneur with 20+ years of experience.,Israeli,
spaitial,Spaitial,Matthias Niessner,CEO & Co-Founder,Professor at TU Munich. Co-founder of Synthesia. Former Stanford faculty.,German,
spaitial,Spaitial,Ricardo Martin-Brualla,Co-Founder,"Formerly at Google, led generative 3D efforts at Google Shopping.",Spanish,
spaitial,Spaitial,David Novotny,Co-Founder,"Formerly at Meta, led 3D asset generation and digital twinning.",Czech,
spaitial,Spaitial,Luke Rogers,Co-Founder,Former McKinsey. Early leader at Cazoo (seed to IPO).,British,
spara,Spara,David Walker,CEO & Co-Founder,Co-founded Triplemint (acquired by The Agency). Scaled to 350 employees.,American,
spara,Spara,Zander Pease,CTO & Co-Founder,Built AI infrastructure at Hyperscience and Nomad Health.,American,
speak,Speak,Connor Zwick,CEO & Co-Founder,"Former Harvard student, Thiel Fellow. Created Flashcards+ (top US education app, acquired by Chegg).",American,
speak,Speak,Andrew Hsu,Co-Founder,Co-founded Speak with Zwick.,Taiwanese-American,
speedy-brand,Speedy Brand,Ayush Jasuja,Co-Founder,AI engineer; previously worked at Apple on AI/ML products,Indian-American,
speedy-brand,Speedy Brand,Jatin Mehta,Co-Founder,AI engineer; previously worked at Microsoft on AI products,Indian-American,
speedy-brand,Speedy Brand,Ranti Dev Sharma,Co-Founder,AI engineer; previously worked at Nextdoor and Salesforce on AI/ML products,Indian-American,
spellbook,Spellbook,Scott Stevenson,CEO & Co-Founder,Studied computer engineering. Previously founded a musical instrument business. Director of Engineering at a networking monitoring startup.,Canadian,
spellbook,Spellbook,Daniel Di Maria,CRO & Co-Founder,Co-founded Rally (later rebranded to Spellbook).,Canadian,
spellbook,Spellbook,Matt Mayers,Chief Experience Officer & Co-Founder,Co-founded Rally (later rebranded to Spellbook).,Canadian,
sphere,Sphere,Nicholas Rudder,Co-Founder & CEO,"Originally from Sydney, Australia. Background in finance at Macquarie Bank and PwC. Previously founded ScholarSite, an educational marketplace where he repeatedly encountered global tax compliance pain points. Pivoted ScholarSite into Sphere to build AI-native tax compliance. Based in San Francisco.",Australian,
sphere,Sphere,Adrian Sarstedt,Co-Founder (departed),Co-founded Sphere with Nicholas Rudder. Technical co-founder who served as CTO. Built initial product. Has since departed the company. Further details limited in public sources.,German,
spirit-ai-robotics,Spirit Ai Robotics,Han Fengtao,CEO & Founder,Former CTO of Rokae Robotics. Experienced roboticist.,Chinese,
spirit-ai-robotics,Spirit Ai Robotics,Gao Yang,Co-Founder & Chief Scientist,"UC Berkeley PhD (under Pieter Abbeel). Tsinghua professor. Research in cross-modal robot interaction. Published at NeurIPS, ICRA.",Chinese,
splose,Splose,Nicholas Sanderson,CEO & Founder,SmartCompany Smart50 founder of the year finalist (2025).,Australian,
splxai,Splxai,Kristian Kamber,CEO & Co-Founder,"Decade-long career in cybersecurity, SaaS, consulting, and regional sales management.",Croatian,
splxai,Splxai,Ante Gojsalic,CTO & Co-Founder,Technical founder. Engineering team based in Croatia.,Croatian,
sportai,Sportai,Lauren Pedersen,CEO,Former NCAA tennis player,New Zealander,
ssi,Ssi,Ilya Sutskever,Co-founder; CEO (since July 2025),"Born in Russia, grew up in Israel, moved to Canada. BSc Mathematics from Open University of Israel. MSc and PhD in Machine Learning under Geoffrey Hinton at University of Toronto. Postdoc with Andrew Ng at Stanford. Co-founded and was Chief Scientist at OpenAI (2015-2024). Research Scientist at Google Brain (2012-2015) working on sequence-to-sequence learning. Key contributor to AlexNet (2012). One of the most cited researchers in deep learning history. Left OpenAI in May 2024 to co-found SSI.",Russian-Israeli-Canadian,
ssi,Ssi,Daniel Gross,Co-founder; former CEO (departed July 2025),Israeli-born entrepreneur and investor. Founded Cue (acquired by Apple in 2013). Partner at Y Combinator. Led AI/ML initiatives at Apple after Cue acquisition. Co-founded Pioneer (talent search platform) with Nat Friedman. Co-founded NFDG Ventures with Nat Friedman. Prolific angel investor in AI companies. Departed SSI as CEO in July 2025.,Israeli-American,
ssi,Ssi,Daniel Levy,Co-founder; President,Former member of technical staff at OpenAI. Worked closely with Ilya Sutskever at OpenAI. Transitioned to President of SSI. Leads day-to-day operations and research direction.,American,
stability-ai,Stability Ai,Emad Mostaque,Co-Founder (resigned March 2024),"Born April 1983 to a Bengali Muslim family in Jordan; migrated to UK at age 7. MA in Mathematics and Computer Science from University of Oxford. Spent 13 years working at various UK hedge funds. Founded Symmitree in 2019 (failed tech-for-poverty startup). Co-founded Stability AI in late 2020. Funded compute for training Stable Diffusion (released August 2022). Resigned March 2024, stating ""you can't beat centralized AI with more centralized AI."" Faced allegations of misleading investors about his role in developing Stable Diffusion.",British-Bangladeshi,
stability-ai,Stability Ai,Cyrus Hodes,Co-Founder,Educated at Sciences Po Paris; MPA from Harvard Kennedy School. AI program director at Harvard Kennedy School. Co-founded The Future Society (AI governance nonprofit). Advised UAE Minister of AI. Founded AIGC Chain (blockchain-AI startup). International AI strategist and governance expert. Filed lawsuit in July 2023 alleging he was defrauded into selling his 15% co-founder stake for $100.,French,
stackai,Stackai,Antoni Rosinol,Co-Founder & CEO,"PhD in Computer Science & AI from MIT (LIDS and AeroAstro, 2018-2022). MSc Robotics from ETH Zurich. BSc from EPFL and NTU Singapore. Born in Barcelona. Robotics Engineer and Perception Lead at NASA JPL as part of CoSTAR team (JPL/MIT/Caltech) for DARPA SubT challenge. Research focused on deep learning, computer vision, and SLAM. Co-founded Stack AI after graduating MIT in 2022. YC W23.",Spanish,
stackai,Stackai,Bernardo Aceituno,Co-Founder,"PhD and Minor in Business Administration from MIT. MSc Mechanical Engineering from MIT. BSc Electrical Engineering and Computer Science from Universidad Simon Bolivar. Research at MIT MCube Lab with Prof. Alberto Rodriguez on robustness and certification for manipulation tasks. Led research projects at Facebook AI Research (FAIR) and Italian Institute of Technology (IIT) on deep learning, trajectory optimization, and legged robots. Co-founded Stack AI after graduating MIT. YC W23.",Venezuelan,
stackone,Stackone,Romain Sestier,CEO & Co-Founder,"10+ years working with Lebedel building billion-dollar SaaS products at Google, Oracle, and Yieldify.",French,
stackone,Stackone,Guillaume Lebedel,CTO & Co-Founder,"10+ years working with Sestier building SaaS products at Google, Oracle, and Yieldify.",French,
stagewise,Stagewise,Glenn Toews,Co-Founder,YC S25 batch.,German (inferred from name),
stagewise,Stagewise,Julian Gottze,Co-Founder,YC S25 batch.,German (inferred from name),
stainless,Stainless,Alex Rattray,Founder & CEO,"BSc from University of Pennsylvania (Wharton). Worked at Stripe (2017-2020) on developer tools. Contributed to Prettier (JavaScript formatter), including the no-semi option and JSX behavior. Also worked at Hired, Babajob, and Toptal. Started a campus bikeshare at UPenn and an underground newspaper in high school. Founded Stainless after developers asked him to reproduce Stripe-caliber SDKs for their APIs.",American,
